edge_1,edge_2,length
15,14,9
3,15,8
10,2,9
16,3,7
17,1,10
17,2,9
13,10,10
1,0,9
4,10,8
5,16,11
9,16,14
9,10,16
6,1,9
3,1,5
15,15,11
17,3,11
7,4,3
12,19,14
18,16,17
2,2,9
18,1,13
8,9,6
9,4,9
12,7,1
8,3,9
19,2,14
10,15,13
0,13,10
13,8,7
3,13,6
2,19,11
7,14,9
12,17,2
3,18,6
1,7,10
11,8,5
4,7,6
2,3,8
11,6,2
7,1,10
6,17,4
14,16,11
12,2,3
15,12,12
14,14,6
1,2,12
0,14,7
9,13,6
16,2,12
13,7,6
0,7,10
18,14,6
11,1,10
9,1,15
6,0,12
19,13,12
16,15,8
14,11,6
17,19,14
13,15,12
4,0,7
16,8,9
14,15,10
10,13,12
10,18,7
17,7,7
1,9,7
13,9,6
15,1,14
0,5,15
10,16,9
7,15,12
16,16,13
5,7,4
15,5,11
5,6,1
4,11,8
16,0,6
12,1,10
8,13,5
11,16,12
19,19,15
15,6,12
6,8,10
14,3,8
17,10,9
16,4,10
10,5,10
1,1,12
14,13,4
8,14,1
17,14,3
6,5,9
4,9,5
9,7,6
1,3,9
17,18,8
6,13,3
6,12,2
2,17,5
8,12,4
11,4,8
6,18,3
18,9,9
2,14,7
3,10,9
10,6,11
19,1,15
11,7,5
3,5,8
7,19,13
13,5,7
1,11,7
19,17,5
15,2,15
2,5,5
0,16,18
15,11,10
15,8,12
0,0,11
17,6,6
7,2,2
16,9,9
15,10,10
1,4,4
14,2,6
18,8,9
5,17,5
5,4,6
0,10,14
12,5,7
9,12,5
17,13,7
18,10,8
7,9,8
11,19,13
5,12,3
4,17,9
0,17,10
14,4,4
2,9,6
4,13,8
5,13,4
8,10,3
10,4,6
2,15,10
11,5,11
8,19,8
10,1,12
19,4,12
7,3,10
3,3,10
15,7,13
4,15,11
9,3,10
17,11,9
1,8,7
9,2,8
16,17,3
6,15,9
16,7,10
3,17,3
17,8,6
1,16,11
8,5,7
1,19,13
11,9,11
8,1,5
12,15,7
17,9,6
13,4,6
0,9,4
3,19,14
4,3,7
6,7,3
15,17,6
7,12,9
14,6,8
18,6,9
2,1,8
8,11,7
15,18,3
10,19,5
2,18,8
8,18,8
7,11,5
14,19,14
13,18,7
8,8,3
15,9,11
7,16,9
14,0,11
2,4,1
3,11,1
11,3,9
0,15,4
12,14,3
18,5,8
9,11,8
4,6,5
18,15,8
19,14,8
6,3,7
16,18,11
12,0,10
3,14,6
13,3,4
9,8,13
19,6,11
7,17,7
18,11,9
8,17,6
1,18,10
0,18,7
8,7,5
12,8,8
12,12,6
11,13,5
7,18,10
3,6,3
17,12,6
13,11,2
8,2,5
7,5,7
5,10,4
13,6,4
11,18,5
13,16,8
1,14,7
6,2,5
16,1,12
16,6,9
0,11,12
9,5,12
3,9,2
10,9,11
16,11,8
18,0,10
5,19,9
12,4,4
19,7,12
15,13,13
0,1,14
2,0,8
11,0,7
0,19,7
11,14,6
11,11,7
17,4,7
1,17,11
16,14,6
18,18,11
18,2,12
5,8,1
19,18,2
14,9,9
5,18,4
19,16,19
4,19,10
11,17,6
18,4,10
6,10,6
18,17,3
12,9,7
2,11,3
2,12,7
13,0,9
17,17,8
16,19,9
5,15,7
7,8,8
18,7,10
2,10,9
8,15,6
8,4,5
13,2,8
7,13,10
1,12,9
18,13,10
10,3,13
5,0,3
15,4,13
0,8,16
19,12,11
4,14,6
3,2,8
1,5,6
5,2,6
13,14,2
15,3,9
11,15,11
12,18,8
10,12,11
14,7,4
5,1,6
8,0,2
6,14,5
16,10,4
5,3,8
9,0,7
6,11,5
9,18,13
19,9,11
1,15,10
9,15,11
14,18,7
9,14,8
0,6,14
19,3,16
14,12,3
12,6,5
18,3,14
9,9,11
0,2,12
3,12,5
7,7,9
3,8,6
1,13,5
10,11,12
4,2,8
3,4,8
10,17,10
19,5,10
17,15,5
6,16,10
4,18,8
19,15,10
7,10,11
14,1,7
4,4,9
13,12,5
12,11,3
11,2,7
10,10,10
17,5,5
6,6,7
12,13,1
2,8,6
8,6,8
10,14,8
15,19,15
0,3,13
3,16,13
10,7,12
13,17,7
12,10,11
3,0,8
12,16,9
13,19,15
1,6,7
6,19,11
9,6,10
10,0,9
1,10,8
4,1,10
14,5,8
6,9,9
13,1,9
9,19,14
3,7,6
19,0,10
16,5,8
0,4,11
13,13,6
5,9,1
18,19,13
5,14,2
5,11,6
18,12,9
19,8,11
17,16,14
15,16,19
4,16,7
4,8,5
12,3,5
2,7,7
19,10,10
11,12,4
9,17,7
17,0,8
14,8,9
4,5,4
0,12,9
16,13,10
14,10,12
14,17,5
5,5,8
8,16,12
15,0,9
7,0,10
7,6,7
16,12,9
2,13,8
19,11,11
2,16,8
11,10,8
6,4,6
4,12,7
10,8,7
2,6,5
