edge_1,edge_2,length
49,49,12
47,32,39
28,16,44
33,37,22
5,49,53
33,8,34
48,6,16
31,47,38
22,33,27
5,40,57
23,6,34
17,33,23
41,40,34
27,9,22
17,1,48
7,33,25
12,37,25
34,5,30
24,34,45
11,23,3
6,37,50
13,10,25
24,17,58
42,47,55
7,21,41
48,21,7
38,37,20
5,33,30
36,47,25
42,42,6
9,10,26
6,20,16
48,33,33
24,10,48
34,9,28
44,8,14
45,4,35
1,0,26
1,37,42
5,16,28
13,44,29
9,16,19
4,10,40
6,1,8
35,44,34
24,9,32
2,40,20
49,37,32
48,1,24
39,42,25
34,8,24
33,39,33
8,47,61
4,47,53
3,1,35
18,39,40
47,23,36
11,42,39
38,6,25
37,14,32
22,45,28
40,6,5
46,28,28
37,41,12
42,10,33
35,34,24
7,37,44
7,4,7
18,49,7
19,33,24
22,40,13
28,26,22
22,8,37
22,9,24
18,16,24
34,26,32
42,26,39
44,10,6
12,19,25
16,39,16
22,6,13
45,49,34
18,1,45
25,11,14
16,43,17
1,46,19
19,47,38
38,16,43
19,39,42
28,28,23
27,10,10
8,9,32
9,4,24
33,28,24
24,39,55
24,26,48
47,39,33
39,49,9
17,49,10
34,28,14
2,26,37
43,46,27
42,40,53
18,37,39
38,15,8
48,29,53
25,39,18
48,40,33
22,23,14
13,8,20
41,8,41
49,26,26
36,39,29
49,46,20
47,10,26
7,14,38
43,17,26
31,37,31
3,43,40
12,17,39
44,9,18
3,18,13
46,6,36
13,39,32
38,49,26
37,29,39
6,42,34
0,20,13
28,21,46
45,20,25
11,8,39
38,20,14
23,17,38
38,21,16
7,1,12
12,46,2
44,5,20
48,28,42
3,41,26
1,20,8
11,6,19
45,46,2
38,40,25
2,49,11
46,42,48
35,49,16
37,9,16
35,18,9
10,46,31
40,37,33
1,32,21
14,16,14
38,48,9
6,17,54
1,49,10
35,41,22
27,4,26
23,43,12
25,1,7
37,46,15
36,14,50
42,0,65
14,14,65
41,49,30
24,44,52
34,49,18
7,20,20
47,33,41
41,0,10
0,14,23
43,14,44
18,47,46
9,42,18
43,37,12
12,33,23
28,10,25
39,9,7
48,8,52
23,21,11
18,43,27
29,0,48
31,5,8
44,18,19
46,43,14
37,17,42
11,47,34
22,29,47
42,28,50
23,29,63
11,1,27
47,4,42
37,42,22
39,33,22
18,14,33
35,37,36
12,45,30
29,44,29
8,20,51
44,41,14
9,1,28
17,37,42
38,5,38
13,37,31
2,34,34
38,17,34
36,1,24
7,39,45
6,47,57
34,37,12
6,0,34
47,37,22
46,47,33
45,41,40
29,29,65
16,29,58
38,33,31
33,10,26
33,42,39
41,20,23
4,49,14
25,45,31
34,44,10
5,37,52
25,47,35
7,28,46
12,40,30
31,42,12
23,0,46
13,46,19
12,20,21
9,49,2
31,34,33
11,34,18
7,34,35
10,20,3
19,41,17
41,43,17
0,40,31
7,26,11
23,16,47
39,10,33
28,18,25
10,18,13
16,8,41
37,39,39
35,17,14
4,0,30
45,37,28
13,9,39
38,19,18
1,9,20
23,32,3
39,16,26
48,44,38
29,4,18
35,4,2
10,16,33
37,40,5
46,17,40
0,5,9
7,49,12
3,49,20
37,36,20
16,16,42
41,1,32
0,32,6
33,36,37
27,8,18
5,28,54
3,33,33
38,23,9
41,16,11
28,20,22
20,44,49
7,32,33
40,8,45
22,19,23
44,23,16
41,5,6
8,26,12
34,42,34
45,18,42
48,49,20
18,29,40
22,37,25
46,4,33
12,47,32
28,8,10
49,36,14
33,34,39
7,46,31
29,14,58
20,41,25
25,21,10
5,6,62
27,49,12
34,40,17
2,47,50
33,21,47
31,36,24
27,6,16
47,49,28
12,1,30
23,46,1
19,42,27
16,0,41
44,34,19
33,17,36
35,40,41
20,14,45
24,43,42
19,19,21
11,16,40
34,4,32
4,43,34
2,36,25
44,37,2
1,43,30
17,10,36
2,39,44
6,8,62
36,26,29
16,4,36
19,45,5
8,28,56
10,5,28
9,34,13
34,29,51
1,1,17
8,14,48
23,26,35
39,37,29
17,14,36
18,20,36
4,9,24
28,4,18
1,42,26
49,33,13
43,26,23
6,5,30
38,39,31
39,0,25
40,41,7
25,38,8
38,47,27
28,1,31
17,18,3
28,43,9
45,5,46
12,34,15
16,41,31
44,47,9
2,17,47
23,23,38
20,34,42
41,17,30
14,21,27
37,34,17
41,42,10
4,33,27
40,9,11
43,44,10
31,49,32
11,4,34
40,40,22
24,42,38
42,4,35
5,36,39
9,43,10
5,21,41
31,1,34
27,29,45
34,20,6
48,46,16
13,32,21
34,36,32
35,23,50
6,33,31
19,29,44
47,18,39
13,42,15
47,5,40
28,34,16
49,5,12
23,49,30
24,1,12
46,0,48
49,9,10
18,9,17
33,43,10
6,18,47
23,33,22
36,20,15
29,49,32
10,6,26
44,16,25
19,1,15
2,14,37
3,10,36
48,17,54
12,32,4
47,21,47
46,5,44
12,39,36
9,32,24
27,39,17
3,5,32
46,44,24
40,5,13
37,20,23
7,23,30
12,48,16
16,26,25
22,41,20
20,26,45
13,5,11
